time_s,radius_m,min_C,max_C_all_grid_nodes,mean_C_dry_mass_weighted,max_node
60000,0.02,0.092774306128156445,0.32082963266756337,0.24176092294885995,0
60060,0.02,0.092652340703679434,0.32052460468327476,0.24155589920928353,0
60120,0.02,0.092530906426842766,0.3202204170060568,0.2413514596277973,0
60180,0.02,0.09241000032162236,0.31991706640705903,0.2411476016620426,0
60240,0.02,0.092289619430573511,0.31961454967185515,0.24094432278390107,0
60300,0.02,0.092169760814732687,0.31931286360037808,0.2407416204794055,0
60360,0.02,0.092050421553519057,0.319012005006855,0.24053949224865154,0
60420,0.02,0.091931598744636023,0.31871197071974328,0.2403379356057099,0
60480,0.02,0.091813289503972523,0.31841275758166609,0.24013694807853828,0
60540,0.02,0.09169549096550432,0.31811436244934821,0.23993652720889519,0
60600,0.02,0.091578200281195024,0.31781678219355275,0.23973667055225228,0
60660,0.02,0.091461414620897241,0.31752001369901722,0.23953737567770925,0
60720,0.02,0.091345131172253527,0.31722405386439051,0.23933864016790754,0
60780,0.02,0.091229347140597397,0.31692889960216963,0.2391404616189455,0
60840,0.02,0.091114059748854184,0.31663454783863715,0.23894283764029342,0
60900,0.02,0.090999266237442047,0.31634099551379841,0.23874576585470983,0
60960,0.02,0.090884963864172899,0.31604823958131922,0.23854924389815729,0
61020,0.02,0.090771149904153359,0.31575627700846387,0.23835326941971929,0
61080,0.02,0.090657821649685749,0.31546510477603318,0.23815784008151772,0
61140,0.02,0.090544976410169245,0.31517471987830281,0.23796295355862992,0
61200,0.02,0.090432611512000924,0.31488511932296182,0.23776860753900772,0
61260,0.02,0.090320724298477068,0.31459630013105172,0.23757479972339554,0
61320,0.02,0.090209312129694436,0.31430825933690515,0.23738152782524943,0
61380,0.02,0.090098372382451733,0.31402099398808553,0.237188789570657,0
61440,0.02,0.089987902450151189,0.31373450114532631,0.2369965826982573,0
61500,0.02,0.08987789974270026,0.31344877788247094,0.23680490495916134,0
61560,0.02,0.089768361686413486,0.31316382128641257,0.23661375411687319,0
61620,0.02,0.089659285723914517,0.31287962845703449,0.23642312794721168,0
61680,0.02,0.089550669314038323,0.31259619650715048,0.23623302423823175,0
61740,0.02,0.089442509931733555,0.31231352256244554,0.23604344079014739,0
61800,0.02,0.08933480506796522,0.31203160376141659,0.23585437541525422,0
61860,0.02,0.089227552229617341,0.31175043725531387,0.23566582593785321,0
61920,0.02,0.089120748939396116,0.31147002020808207,0.23547779019417425,0
61980,0.02,0.089014392735733097,0.311190349796302,0.23529026603230002,0
62040,0.02,0.08890848117268868,0.31091142320913245,0.23510325131209178,0
62100,0.02,0.088803011819855879,0.31063323764825213,0.2349167439051135,0
62160,0.02,0.088697982262264302,0.31035579032780197,0.23473074169455863,0
62220,0.02,0.088593390100284414,0.3100790784743277,0.23454524257517484,0
62280,0.02,0.088489232949532148,0.3098030993267224,0.23436024445319201,0
62340,0.02,0.088385508440773627,0.30952785013616968,0.23417574524624826,0
62400,0.02,0.088282214219830443,0.30925332816608653,0.23399174288331839,0
62460,0.02,0.088179347947484901,0.30897953069206707,0.23380823530464062,0
62520,0.02,0.088076907299385956,0.30870645500182586,0.2336252204616461,0
62580,0.02,0.087974889965955094,0.30843409839514202,0.23344269631688749,0
62640,0.02,0.087873293652292864,0.30816245818380317,0.23326066084396788,0
62700,0.02,0.08777211607808548,0.30789153169154965,0.23307911202747089,0
62760,0.02,0.087671354977511926,0.30762131625401917,0.23289804786289095,0
62820,0.02,0.087571008099151332,0.3073518092186916,0.23271746635656371,0
62880,0.02,0.087471073205890773,0.30708300794483373,0.23253736552559739,0
62940,0.02,0.087371548074833272,0.30681490980344472,0.23235774339780421,0
63000,0.02,0.087272430497206344,0.30654751217720133,0.23217859801163201,0
63060,0.02,0.087173718278270834,0.30628081246040356,0.23199992741609748,0
63120,0.02,0.087075409237230075,0.30601480805892056,0.23182172967071832,0
63180,0.02,0.086977501207139499,0.30574949639013688,0.23164400284544684,0
63240,0.02,0.086879992034816583,0.30548487488289844,0.2314667450206036,0
63300,0.02,0.086782879580751288,0.30522094097745922,0.23128995428681143,0
